ori_read = 17, n = 312072, length_s = '111111111111111110', value_s = '001100001100001001', len(length_s) = 18, len(value_s) = 18
ori_read = 769, n = 3643, length_s = '11111111110', value_s = '11000111100', len(length_s) = 11, len(value_s) = 11
ori_read = 1507, n = 3643, length_s = '11111111110', value_s = '11000111100', len(length_s) = 11, len(value_s) = 11
ori_read = 2245, n = 3643, length_s = '11111111110', value_s = '11000111100', len(length_s) = 11, len(value_s) = 11
ori_read = 2983, n = 3643, length_s = '11111111110', value_s = '11000111100', len(length_s) = 11, len(value_s) = 11
ori_read = 3721, n = 3643, length_s = '11111111110', value_s = '11000111100', len(length_s) = 11, len(value_s) = 11
ori_read = 4459, n = 3643, length_s = '11111111110', value_s = '11000111100', len(length_s) = 11, len(value_s) = 11
ori_read = 5197, n = 3643, length_s = '11111111110', value_s = '11000111100', len(length_s) = 11, len(value_s) = 11
ori_read = 5935, n = 3643, length_s = '11111111110', value_s = '11000111100', len(length_s) = 11, len(value_s) = 11
ori_read = 6673, n = 84099, length_s = '1111111111111110', value_s = '0100100010000100', len(length_s) = 16, len(value_s) = 16
ori_read = 6753, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 6763, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 6773, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 6813, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 6823, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 6831, n = 324, length_s = '11111110', value_s = '01000101', len(length_s) = 8, len(value_s) = 8
ori_read = 6853, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 6865, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 6875, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 6883, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 6893, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 6937, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 6965, n = 276, length_s = '11111110', value_s = '00010101', len(length_s) = 8, len(value_s) = 8
ori_read = 6989, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 7013, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 7023, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 7065, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 7071, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 7081, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 7091, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 7099, n = 299, length_s = '11111110', value_s = '00101100', len(length_s) = 8, len(value_s) = 8
ori_read = 7119, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 7127, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 7171, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 7181, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 7205, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 7215, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 7225, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
